evo-volume,eco,name,pgn,uci,epd,epdhash
,A00,Global Opening,1. h3 e5 2. a3,h2h3 e7e5 a2a3,rnbqkbnr/pppp1ppp/8/4p3/8/7P/PPPPPPP1/RNBQKBNR w KQkq -,c35c5852f1c0570a6932b20d67eda4dc
,A00,Grob Opening: Alessi Gambit,1. g4 f5,g2g4 f7f5,rnbqkbnr/ppppp1pp/8/5p2/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,b734cb71814f8da03fcfec2724176873
,A00,Grob Opening: Double Grob,1. g4 g5,g2g4 g7g5,rnbqkbnr/pppppp1p/8/6p1/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,11999695c5bf5a701c9898d10f936044
,A00,Grob Opening: London Defense,1. g4 e5 2. h3 Nc6,g2g4 e7e5 h2h3 b8c6,rnbqkbnr/pppp1ppp/8/4p3/6P1/8/PPPPPP1P/RNBQKBNR w KQkq -,90ca9db6e2050a44c2855b40dc220099
,A00,Anderssen's Opening: Polish Gambit,1. a3 a5 2. b4,a2a3 a7a5 b2b4,rnbqkbnr/1ppppppp/8/p7/8/P7/1PPPPPPP/RNBQKBNR w KQkq -,489719a47e4fb833f633e6acd48d3274
,A00,Barnes Opening: Gedult Gambit,1. f3 d5 2. e4 g6 3. d4 dxe4 4. c3,f2f3 d7d5 e2e4 g7g6 d2d4 d5e4 c2c3,rnbqkbnr/ppp1pppp/8/3p4/8/5P2/PPPPP1PP/RNBQKBNR w KQkq -,e7f1f11b90f7d37140077ff2f4981fee
,A00,Amar Opening: Paris Gambit,1. Nh3 d5 2. g3 e5 3. f4,g1h3 d7d5 g2g3 e7e5 f2f4,rnbqkbnr/ppp1pppp/8/3p4/8/7N/PPPPPPPP/RNBQKB1R w KQkq -,ef8d44978d5ef0cd11911b828b27dcab
,A00,Barnes Opening: Gedult Gambit,1. f3 f5 2. e4 fxe4 3. Nc3,f2f3 f7f5 e2e4 f5e4 b1c3,rnbqkbnr/ppppp1pp/8/5p2/8/5P2/PPPPP1PP/RNBQKBNR w KQkq -,2459cd5f363e955c7d44ddc462980f91
,A00,Clemenz Opening: Spike Lee Gambit,1. h3 h5 2. g4,h2h3 h7h5 g2g4,rnbqkbnr/ppppppp1/8/7p/8/7P/PPPPPPP1/RNBQKBNR w KQkq -,ae3e231d07b843ae38ef1c570decd526
,A00,Creepy Crawly Formation: Classical Defense,1. h3 d5 2. a3 e5,h2h3 d7d5 a2a3 e7e5,rnbqkbnr/ppp1pppp/8/3p4/8/7P/PPPPPPP1/RNBQKBNR w KQkq -,5e6211d3c37464ac7a814c889f619697
,A00,Hungarian Opening: Symmetrical Variation,1. g3 g6,g2g3 g7g6,rnbqkbnr/pppppp1p/6p1/8/8/6P1/PPPPPP1P/RNBQKBNR w KQkq -,52d9723945ee0eb055f784d54bfa4507
,A00,Hungarian Opening: Van Kuijk Gambit,1. g3 h5 2. Nf3 h4,g2g3 h7h5 g1f3 h5h4,rnbqkbnr/ppppppp1/8/7p/8/6P1/PPPPPP1P/RNBQKBNR w KQkq -,0e822a8b2cc69138f3c220b35e2130c1
,A00,Hungarian Opening: Winterberg Gambit,1. g3 d5 2. Bg2 e5 3. c4 dxc4 4. b3,g2g3 d7d5 f1g2 e7e5 c2c4 d5c4 b2b3,rnbqkbnr/ppp1pppp/8/3p4/8/6P1/PPPPPP1P/RNBQKBNR w KQkq -,c839381f9582a12fd1b3fa1dada42014
,A00,Hungarian Opening: Sicilian Invitation,1. g3 c5,g2g3 c7c5,rnbqkbnr/pp1ppppp/8/2p5/8/6P1/PPPPPP1P/RNBQKBNR w KQkq -,a97075aa0b0985e91bcf46c35d7555d5
,A00,"Hungarian Opening: Reversed Brooklyn Defense, Brooklyn Benko Gambit",1. g3 e5 2. Nf3 e4 3. Ng1 Nf6 4. b4,g2g3 e7e5 g1f3 e5e4 f3g1 g8f6 b2b4,rnbqkbnr/pppp1ppp/8/4p3/8/6P1/PPPPPP1P/RNBQKBNR w KQkq -,f45090aca4f62b688b0714e42cbe7e13
,A00,Kádas Opening: Beginner's Trap,1. h4 d5 2. Rh3,h2h4 d7d5 h1h3,rnbqkbnr/ppp1pppp/8/3p4/7P/8/PPPPPPP1/RNBQKBNR w KQkq -,70f8e99ae83c3951da8afa4f0f6c0220
,A00,Kádas Opening: Schneider Gambit,1. h4 g5,h2h4 g7g5,rnbqkbnr/pppppp1p/8/6p1/7P/8/PPPPPPP1/RNBQKBNR w KQkq -,f8df10801326bdffa696004686bb60c9
,A00,Kádas Opening: Steinbok Gambit,1. h4 f5 2. e4 fxe4 3. d3,h2h4 f7f5 e2e4 f5e4 d2d3,rnbqkbnr/ppppp1pp/8/5p2/7P/8/PPPPPPP1/RNBQKBNR w KQkq -,9e776288d779b293255a504e9bd033a0
,A00,Mieses Opening: Myers Spike Attack,1. d3 g6 2. g4,d2d3 g7g6 g2g4,rnbqkbnr/pppppp1p/6p1/8/8/3P4/PPP1PPPP/RNBQKBNR w KQkq -,d4ce67c9f57bd39a81923a0228124a0e
,A00,Kádas Opening: Koola-Koola Variation,1. h4 a5,h2h4 a7a5,rnbqkbnr/1ppppppp/8/p7/7P/8/PPPPPPP1/RNBQKBNR w KQkq -,9e4e2de35e7d86faacb0ba7a1855c500
,A00,Kádas Opening: Kádas Gambit,1. h4 c5 2. b4,h2h4 c7c5 b2b4,rnbqkbnr/pp1ppppp/8/2p5/7P/8/PPPPPPP1/RNBQKBNR w KQkq -,9d5b183c10988201bfc9d41310a0ef39
,A00,Kádas Opening: Kádas Gambit,1. h4 e5 2. d4 exd4 3. c3,h2h4 e7e5 d2d4 e5d4 c2c3,rnbqkbnr/pppp1ppp/8/4p3/7P/8/PPPPPPP1/RNBQKBNR w KQkq -,48a77f2b5cc3f66bdd23a29d3346e36e
,A00,Hungarian Opening: Asten Gambit,1. g3 Nc6 2. Nc3 d5 3. d4 e5 4. dxe5 d4 5. Ne4 f5,g2g3 b8c6 b1c3 d7d5 d2d4 e7e5 d4e5 d5d4 c3e4 f7f5,r1bqkbnr/pppppppp/2n5/8/8/6P1/PPPPPP1P/RNBQKBNR w KQkq -,946b45fa41d27a6e42bcb68a186ccd82
,A00,Hungarian Opening: Pachman Gambit,1. g3 f5 2. e4 fxe4 3. Qh5+ g6,g2g3 f7f5 e2e4 f5e4 d1h5 g7g6,rnbqkbnr/ppppp1pp/8/5p2/8/6P1/PPPPPP1P/RNBQKBNR w KQkq -,6d17c5fe4d522c6bfe6be21749fbbb43
,A00,Hungarian Opening: Myers Defense,1. g3 g5,g2g3 g7g5,rnbqkbnr/pppppp1p/8/6p1/8/6P1/PPPPPP1P/RNBQKBNR w KQkq -,e311289957b792e3093d89108af08216
